Sample,Response,RT,Correct,participant,session,gender,experiment_name,date,
4060,m,0.7213143259999999,1,,001,,Hysterisis,"January 25, 2019",
4060,n,1.6267882920000005,0,,001,,Hysterisis,"January 25, 2019",
4060,m,1.0209901780000017,1,,001,,Hysterisis,"January 25, 2019",
4060,m,0.36794403300000056,1,,001,,Hysterisis,"January 25, 2019",
4060,n,0.22922694500000063,0,,001,,Hysterisis,"January 25, 2019",
4060,m,1.5287563060000018,1,,001,,Hysterisis,"January 25, 2019",
4060,n,0.3396902070000003,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,m,0.5042796299999992,1,,001,,Hysterisis,"January 25, 2019",
4060,n,0.36072121700000537,0,,001,,Hysterisis,"January 25, 2019",
4060,m,0.15590754200000134,1,,001,,Hysterisis,"January 25, 2019",
4060,m,0.132072026000003,1,,001,,Hysterisis,"January 25, 2019",
4060,n,0.10010713699999485,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,m,0.9001656490000016,1,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,n,1.4672200669999995,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
4060,,,0,,001,,Hysterisis,"January 25, 2019",
