Sample,Response,RT,Correct,participant,session,gender,experiment_name,date,
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,m,1.1763900819999833,1,,001,,Hysterisis,"January 25, 2019",
2080,n,0.5284536099999855,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
